headline,web_url,snippet,source,keywords,pub_date,byline,word_count,title,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,genres,spoken_languages,production_countries
"‘The Attachment Diaries’ Review: Love, Sick",https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",The New York Times,,2023-05-25T11:00:03+0000,By Jeannette Catsoulis,295,The Attachment Diaries,El apego,0,es,,"Argentina, 1970s. A desperate young woman goes to a clinic to have a clandestine abortion. As her pregnancy is already through the fourth month, the doctor refuses. Instead, she proposes to sell the baby to one of her clients and offers to provide shelter in her house until the child is born. Their disturbed personalities will become intertwined in a strange and dangerous relationship.",2.24,102,0,2021-10-07,3.0,4,"Drama, Mystery, Thriller, Horror",Spanish,Argentina
‘You Can Live Forever’ Review: Do You Love Me Now?,https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,Religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,The New York Times,,2023-05-04T11:00:08+0000,By Elisabeth Vincentelli,294,You Can Live Forever,You Can Live Forever,0,en,https://gooddeedentertainment.com/you-can-live-forever/,"When Jaime, a gay teenager, is sent to live in a community of Jehovah's Witnesses in small-town Quebec, she falls madly in love with a devout Witness girl. The two embark on an intense affair with consequences that will reshape the rest of their lives.",35.235,96,15055,2023-03-24,6.6,37,"Drama, Romance","English, French","Canada, United States of America"
‘One True Loves’ Review: A Romance Lost at Sea,https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,,2023-04-13T11:00:06+0000,By Brandon Yu,320,One True Loves,One True Loves,0,en,,"Emma and Jesse are living the perfect life together, until Jesse disappears in a tragic helicopter crash on their first wedding anniversary. Four years later, Emma has found happiness again and is about to marry her best friend when Jesse resurfaces, turning her world upside down and leaving her torn between two great loves.",12.217,100,37820,2023-04-07,6.5,75,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
