headline,web_url,snippet,source,keywords,pub_date,byline,word_count,title
‘Feel the Beat’ Review: Tough Love in the Dance Studio,https://www.nytimes.com/2020/06/19/movies/feel-the-beat-review.html,A prickly professional dancer becomes a reluctant instructor for a preteen dance troupe in this formulaic dramedy.,The New York Times,"['Movies', 'Carson, Sofia (1993- )', 'Down, Elissa (1975- )', 'Feel the Beat (Movie)']",2020-06-19T07:01:02+0000,By Natalia Winkelman,253,Feel the Beat
"‘Babyteeth’ Review: Love Means Never Having, Well, You Know",https://www.nytimes.com/2020/06/18/movies/babyteeth-review.html,"Eliza Scanlen plays a seriously ill high schooler who falls for the wrong guy who turns out to have the right stuff, after all.",The New York Times,"['Movies', 'Babyteeth (Movie)', 'Murphy, Shannon (Film Director)', 'Scanlen, Eliza', 'Wallace, Toby (1996- )']",2020-06-18T16:31:36+0000,By Manohla Dargis,517,Babyteeth
‘Spelling the Dream’ Review: Words of Inspiration,https://www.nytimes.com/2020/06/03/movies/spelling-the-dream-review.html,"This Netflix documentary explores the unbroken Indian-American dominance of the U.S. national spelling bee, to less than winning results.",The New York Times,"['Documentary Films and Programs', 'Scripps National Spelling Bee', 'Rega, Sam', 'Spelling the Dream (Movie)', 'Spelling', 'Netflix Inc']",2020-06-03T12:44:10+0000,By Bilal Qureshi,296,Spelling the Dream
‘A Secret Love’ Review: A Lesbian Couple’s Enduring Affection,https://www.nytimes.com/2020/04/29/movies/a-secret-love-review.html,"This tender film explores the partnership between two women who lived, in public and to kin, as dear friends for six decades.",The New York Times,"['Documentary Films and Programs', 'Homosexuality and Bisexuality', 'Bolan, Chris (Filmmaker)', 'A Secret Love (Movie)']",2020-04-29T07:01:02+0000,By Natalia Winkelman,309,A Secret Love
‘Love Wedding Repeat’ Review: A Tumble Down the Aisle,https://www.nytimes.com/2020/04/10/movies/love-wedding-repeat-review-a-tumble-down-the-aisle.html,A couple’s reception becomes a disaster (or does it?) in this comedy of multiple errors.,The New York Times,"['Movies', 'Love Wedding Repeat (Movie)', 'Craig, Dean (1974- )', 'Claflin, Sam', 'Munn, Olivia']",2020-04-10T07:01:05+0000,By Amy Nicholson,414,Love Wedding Repeat
"‘Almost Love’ Review: Schooled in Romance, but Missing Class",https://www.nytimes.com/2020/04/02/movies/almost-love-review.html,This ensemble comedy treats class solidarity as the love that dare not speak its name.,The New York Times,"['Movies', 'Almost Love (Movie)', 'Doyle, Mike (1972- )']",2020-04-02T11:00:03+0000,By Teo Bugbee,408,Almost Love
‘Hope Gap’ Review: A Thin Line Between Love and War,https://www.nytimes.com/2020/03/05/movies/hope-gap-review-a-thin-line-between-love-and-war.html,Annette Bening and Bill Nighy play a couple that has lost its way after 29 years of marriage.,The New York Times,"['Movies', 'Bening, Annette', 'Nighy, Bill', 'Nicholson, William (1948- )', 'Hope Gap (Movie)']",2020-03-05T12:00:03+0000,By Aisha Harris,257,Hope Gap
‘All the Bright Places’ Review: Love Amid Trauma,https://www.nytimes.com/2020/02/28/movies/all-the-bright-places-review.html,Elle Fanning and Justice Smith breathe life into a film about mental illness and the healing power of love.,The New York Times,"['Movies', 'All the Bright Places (Movie)', 'Haley, Brett', 'Fanning, Elle', 'Smith, Justice (1995- )', 'Netflix Inc']",2020-02-28T08:01:07+0000,By Candice Frederick,233,All the Bright Places
‘The Photograph’ Review: An Unabashedly Old-School Love Story,https://www.nytimes.com/2020/02/13/movies/the-photograph-review.html,Issa Rae and a terrific Lakeith Stanfield play a New York couple whose romance sends them and the story into the past.,The New York Times,"['Movies', 'The Photograph (Movie)', 'Meghie, Stella', 'Rae, Issa', 'Stanfield, Lakeith']",2020-02-13T20:54:33+0000,By Manohla Dargis,862,The Photograph
‘You Go to My Head’ Review: Untrue Love,https://www.nytimes.com/2020/02/13/movies/you-go-to-my-head-review.html,A mysterious architect persuades an amnesiac that she’s his wife in this elusive romance set in the Sahara.,The New York Times,"['Movies', 'You Go to My Head (Movie)', 'de Clercq, Dimitri']",2020-02-13T12:00:05+0000,By Jeannette Catsoulis,292,You Go to My Head
‘Ordinary Love’ Review: In Sickness and in Health,https://www.nytimes.com/2020/02/12/movies/ordinary-love-review.html,Lesley Manville and Liam Neeson play a married couple facing a cancer diagnosis.,The New York Times,"['Movies', 'Ordinary Love (Movie)', 'Neeson, Liam', 'Manville, Lesley', ""D'Sa, Lisa Barros"", 'Leyburn, Glenn']",2020-02-12T19:46:45+0000,By A.O. Scott,569,Ordinary Love
"‘To All the Boys: P.S. I Still Love You’ Review: Bliss, for Now",https://www.nytimes.com/2020/02/11/movies/to-all-the-boys-ps-i-still-love-you-review.html,The second installment in Netflix’s ’80s-style teen romance trilogy asks the question John Hughes left unanswered.,The New York Times,"['Movies', 'Condor, Lana', 'Centineo, Noah', 'To All the Boys: PS I Still Love You (Movie)', 'Fimognari, Michael']",2020-02-11T18:33:41+0000,By Amy Nicholson,654,To All the Boys: P.S. I Still Love You
‘The Woman Who Loves Giraffes’ Review: Crackers for Animals,https://www.nytimes.com/2020/01/09/movies/the-woman-who-loves-giraffes-review.html,"This warm documentary uses one woman’s singular passion to fuel a tale of zoological discovery, blatant sexism and environmental alarm.",The New York Times,"['Documentary Films and Programs', 'Giraffes', 'The Woman Who Loves Giraffes (Movie)', 'Dagg, Anne Innis', 'Reid, Alison (Filmmaker)']",2020-01-09T12:00:04+0000,By Jeannette Catsoulis,279,The Woman Who Loves Giraffes
‘Queen & Slim’ Review: Love on the Run,https://www.nytimes.com/2019/11/26/movies/queen-and-slim-review.html,Daniel Kaluuya and Jodie Turner-Smith star in Melina Matsoukas’s dreamy but intense outlaw romance.,The New York Times,"['Movies', 'Queen & Slim (Movie)', 'Matsoukas, Melina', 'Waithe, Lena', 'Kaluuya, Daniel', 'Turner-Smith, Jodie']",2019-11-26T17:41:50+0000,By A.O. Scott,799,Queen & Slim
‘Marriage Story’ Review: Dance Me to the End of Love,https://www.nytimes.com/2019/11/05/movies/marriage-story-review.html,"Adam Driver and Scarlett Johansson self-consciously uncouple in Noah Baumbach’s tender, stinging tale of divorce.",The New York Times,"['Movies', 'Baumbach, Noah', 'Marriage Story (Movie)', 'Driver, Adam', 'Johansson, Scarlett', 'Alda, Alan', 'Dern, Laura', 'Liotta, Ray']",2019-11-05T19:01:02+0000,By A.O. Scott,1244,Marriage Story
"‘Cyrano, My Love’ Review: A Nose for Romance",https://www.nytimes.com/2019/10/17/movies/cyrano-my-love-review.html,This superficial take on the writing and initial staging of “Cyrano de Bergerac” is a whirlwind of soapy declarations and backstage chaos.,The New York Times,"['Movies', 'Cyrano, My Love (Movie)', 'Michalik, Alexis']",2019-10-17T11:00:03+0000,By Jeannette Catsoulis,291,"Cyrano, My Love"
"‘Pretenders’ Review: A Little New Wave Love, a Lot of Misogyny",https://www.nytimes.com/2019/10/03/movies/pretenders-review.html,"Directed by James Franco and featuring James Franco, this film indulges in a distasteful brand of nostalgia.",The New York Times,"['Movies', 'Franco, James', 'Pretenders (Movie)']",2019-10-03T11:00:07+0000,By Glenn Kenny,276,Pretenders
‘First Love’ Review: Eluding Assassins With the Help of a Boxer,https://www.nytimes.com/2019/09/26/movies/first-love-review.html,The prolific director Takashi Miike delivers an unusually satisfying Japanese genre romp.,The New York Times,"['Movies', 'Miike, Takashi', 'First Love (Movie)']",2019-09-26T11:00:06+0000,By Glenn Kenny,398,First Love
"‘Loro’ Review: A Corrupt Leader, and the People Who Love Him",https://www.nytimes.com/2019/09/19/movies/loro-review.html,Toni Servillo plays the former Italian Prime Minister Silvio Berlusconi in Paolo Sorrentino’s extravagant portrait.,The New York Times,"['Movies', 'Loro (Movie)', 'Servillo, Toni', 'Sorrentino, Paolo', 'Berlusconi, Silvio', 'Italy']",2019-09-19T17:27:07+0000,By A.O. Scott,820,Loro
‘Falling Inn Love’ Review: A Prize That Needs Some Work,https://www.nytimes.com/2019/08/29/movies/falling-inn-love-review.html,"It’s hard to find a reliable, talented, reasonably priced, eco-friendly contractor these days.",The New York Times,"['Movies', 'Netflix Inc', 'Kumble, Roger', 'Milian, Christina', 'Demos, Adam', 'Falling Inn Love (Movie)']",2019-08-29T14:56:44+0000,By Helen T. Verongos,374,Falling Inn Love
‘Hot Air’ Review: A Right-Wing Radio Host Learns to Love Again,https://www.nytimes.com/2019/08/22/movies/hot-air-review.html,Steve Coogan stars in this cumbersome political comedy.,The New York Times,"['Movies', 'Coogan, Steve', 'Coraci, Frank', 'Hot Air (Movie)', 'Campbell, Neve']",2019-08-22T15:50:09+0000,By Bilge Ebiri,266,Hot Air
"‘Love, Antosha’ Review: A Heartbreaking Look at an Actor’s Too-Short Life",https://www.nytimes.com/2019/08/08/movies/love-anthosa-review.html,"Anton Yelchin, who played Chekov in the J.J. Abrams-produced “Star Trek” films, assembled an eclectic filmography before his death at 27 in 2016.",The New York Times,"['Documentary Films and Programs', 'Love, Antosha (Movie)', 'Price, Garret', 'Yelchin, Anton']",2019-08-08T09:00:10+0000,By Glenn Kenny,319,"Love, Antosha"
‘Leto’ Review: Love and Rock in Leningrad,https://www.nytimes.com/2019/06/06/movies/leto-review.html,Kirill Serebrennikov’s gentle mood piece brings an underground music scene to vivid life.,The New York Times,"['Music', 'Leto (Movie)', 'Serebrennikov, Kirill S']",2019-06-06T11:00:02+0000,By Jeannette Catsoulis,283,Leto
‘The Tomorrow Man’ Review: Love Among the Neuroses,https://www.nytimes.com/2019/05/21/movies/the-tomorrow-man-review.html,Blythe Danner and John Lithgow strain to elevate this twee late-life romance.,The New York Times,"['Movies', 'The Tomorrow Man (Movie)', 'Danner, Blythe', 'Lithgow, John', 'Jones, Noble']",2019-05-21T11:00:01+0000,By Jeannette Catsoulis,280,The Tomorrow Man
‘Asako I & II’ Review: Double the Love (and the Heartbreak),https://www.nytimes.com/2019/05/16/movies/asako-i-and-ii-review.html,The Japanese director Ryusuke Hamaguchi follows up his marathon “Happy Hour” with a story of love among young urbanites.,The New York Times,"['Movies', 'Asako I & II (Movie)', 'Hamaguchi, Ryusuke']",2019-05-16T11:00:01+0000,By Glenn Kenny,547,Asako I & II
"‘The Sun Is Also a Star’ Review: A Charming, if Generic, Adolescent Love Story",https://www.nytimes.com/2019/05/15/movies/the-sun-is-also-a-star-review.html,"Yara Shahidi and Charles Melton play teenagers falling in love on a hectic, sunny day in New York.",The New York Times,"['Movies', 'The Sun Is Also a Star (Movie)', 'Russo-Young, Ry', 'Shahidi, Yara (2000- )', 'Yoon, Nicola (Author)', 'Melton, Charles (1991- )']",2019-05-15T16:01:27+0000,By A.O. Scott,697,The Sun Is Also a Star
‘Shéhérazade’ Review: Love in the Mean Streets of Marseille,https://www.nytimes.com/2019/05/10/movies/sheherazade-review.html,The options are few and most of them involve risk or further deprivation for these French teenagers who face the world with little support.,The New York Times,"['Movies', 'Netflix Inc', 'Sheherazade (Movie)', 'Marlin, Jean-Bernard']",2019-05-10T11:00:01+0000,By Helen T. Verongos,350,Shéhérazade
‘Long Shot’ Review: Charlize Theron and Seth Rogen Give Good Heart,https://www.nytimes.com/2019/05/02/movies/long-shot-review.html,The improbably yet perfectly paired stars play old friends who unexpectedly find love in this charming (and a bit vulgar) romantic comedy.,The New York Times,"['Movies', 'Comedy and Humor', 'Odenkirk, Bob', 'Rogen, Seth', 'Theron, Charlize', 'Long Shot (Movie)', 'Levine, Jonathan A (1976- )']",2019-05-02T17:43:25+0000,By Manohla Dargis,1025,Long Shot
‘Clara’ Review: Love Means Never Having to Say You’re Starry,https://www.nytimes.com/2019/05/02/movies/clara-review.html,A ruthless empiricist searching for life beyond Earth learns a thing or two about life on the planet.,The New York Times,"['Movies', 'Clara (Movie)', 'Adams, Patrick J', 'Esmer, Ennis (1978- )', 'Sherman, Akash']",2019-05-02T11:00:04+0000,By Ben Kenigsberg,256,Clara
